Day; Zone
4;440
4;440
4;458
4;196
4;45
4;32
4;397
4;66
4;630
4;188
4;448
4;450
4;345
4;372
4;470
4;458
4;332
4;217
4;120
4;419
5;155
5;166
5;189
5;635
5;200
5;317
5;450
5;264
5;45
5;191
5;168
5;229
5;253
5;66
5;341
5;149
5;626
5;137
5;303
5;348
5;440
5;15
5;120
5;7
5;191
5;99
5;377
5;264
5;37
5;470
5;621
5;171
5;146
5;397
5;348
5;348
5;106
5;82
5;32
5;610
5;206
5;385
5;604
5;303
5;212
5;234
5;435
5;372
5;293
5;234
5;628
5;189
5;66
5;191
5;348
5;66
5;217
5;385
5;435
5;303
5;37
5;189
5;260
5;268
5;440
5;212
5;303
5;348
5;106
5;435
5;170
5;160
5;72
5;219
5;378
5;435
5;253
5;191
5;155
5;397
5;332
5;229
5;353
5;459
5;635
5;332
5;635
5;171
5;260
5;626
5;448
5;6
5;628
5;630
5;260
5;3
5;191
5;149
5;621
5;14
5;175
5;18
6;385
6;193
6;45
6;72
6;610
6;45
6;3
6;219
6;332
6;37
6;283
6;6
6;149
6;79
6;436
6;276
6;188
6;217
6;630
6;51
6;293
6;276
6;253
6;170
6;127
6;628
6;409
6;412
6;260
6;648
6;317
6;188
6;131
6;353
6;303
6;635
6;219
6;253
6;193
6;196
6;171
6;648
6;15
6;219
6;372
6;450
6;155
6;106
6;51
6;260
6;114
6;332
6;264
6;390
6;171
6;409
6;323
6;171
6;630
6;164
6;189
6;32
6;372
6;131
6;29
6;29
6;6
6;168
6;37
6;146
6;390
6;128
6;137
6;610
6;213
6;458
6;332
6;51
6;470
6;332
6;106
6;127
6;175
6;277
6;32
6;372
6;385
6;332
6;196
6;79
6;365
6;220
6;196
6;213
6;79
6;6
6;120
6;351
6;604
6;168
6;196
6;164
6;89
6;258
6;164
6;313
6;160
7;170
7;206
7;32
7;15
7;332
7;409
7;127
7;66
7;213
7;293
7;137
7;408
7;51
7;51
7;15
7;189
7;253
7;38
7;120
7;72
7;149
7;127
7;448
7;155
7;114
7;149
7;89
7;268
7;216
7;332
7;18
7;234
7;202
7;253
7;268
7;341
7;253
7;628
7;120
7;89
7;213
7;377
7;6
7;189
7;637
7;106
7;18
7;428
7;164
7;212
8;293
8;630
8;293
8;377
8;149
8;106
8;377
8;317
8;32
8;89
8;189
8;94
8;635
8;47
8;127
8;253
8;382
9;32
9;269
9;45
9;628
9;118
9;82
9;459
9;194
10;200
10;344
10;69
10;459
10;82
10;332
10;271
10;128
10;623
10;323
11;129
11;109
11;14
11;120
11;14
11;436
11;436
11;419
11;610
11;164
11;341
11;150
11;220
11;82
11;202
11;71
11;128
11;220
11;278
11;14
11;277
11;164
11;242
12;313
12;216
12;89
12;254
12;106
12;397
12;408
12;216
12;436
12;128
12;445
12;313
12;392
12;205
12;106
12;89
12;237
12;216
12;200
12;221
12;202
12;94
12;180
12;419
12;39
12;301
12;428
12;10
13;323
13;32
13;216
13;371
13;342
13;14
13;220
13;323
13;628
13;50
13;351
13;202
13;385
13;377
13;377
13;459
13;7
13;94
13;75
13;253
13;382
13;214
13;375
13;164
13;164
13;296
13;83
13;88
13;94
13;94
13;253
13;253
13;269
13;408
13;47
13;22
13;280
13;202
14;269
14;344
14;128
14;71
14;89
14;344
14;269
14;202
14;32
14;89
14;631
14;216
14;253
14;269
14;2
14;118
14;205
14;628
14;129
14;628
14;194
14;271
15;253
15;628
15;253
15;47
15;332
15;118
15;428
15;305
15;271
15;194
15;150
15;82
15;69
15;628
15;89
15;94
15;167
15;460
15;118
15;15
15;118
15;109
15;344
15;459
15;344
15;69
15;319
15;194
15;377
15;269
15;120
16;205
16;390
16;278
16;277
16;623
16;344
16;419
16;412
16;118
16;459
16;392
16;100
16;271
16;419
16;39
16;278
16;150
16;7
16;277
16;120
16;39
16;39
16;303
16;71
17;237
17;419
17;185
17;301
17;341
17;150
17;129
17;397
17;445
17;323
17;120
17;254
17;235
17;280
17;242
17;332
17;341
17;278
17;237
17;237
17;71
17;191
17;458
17;205
17;392
17;271
17;301
17;237
17;342
17;71
17;109
17;242
17;342
17;610
17;341
17;445
17;214
17;200
17;50
17;89
17;116
17;350
17;271
17;324
17;301
17;419
17;163
17;254
18;254
18;280
18;29
18;10
18;310
18;371
18;89
18;75
18;39
18;371
18;221
18;50
18;10
18;109
18;332
18;385
18;200
18;88
18;301
18;392
18;83
18;197
18;341
18;2
18;10
18;109
18;75
18;75
18;200
18;392
18;50
18;342
18;10
18;301
18;88
18;371
18;445
18;180
18;342
18;75
18;10
18;71
18;71
18;323
18;410
18;180
18;237
19;254
19;129
19;71
19;15
19;83
19;89
19;342
19;75
19;39
19;332
19;7
19;342
19;205
19;200
19;631
19;385
19;253
19;180
19;385
19;205
19;280
19;2
19;32
19;221
19;2
19;83
19;89
19;88
19;460
19;7
19;32
19;344
19;190
19;296
19;205
19;22
19;22
19;305
19;205
19;89
19;253
19;254
19;329
19;32
20;89
20;89
20;15
20;15
20;332
20;460
20;332
20;332
20;269
20;631
20;167
20;2
20;71
20;419
20;167
20;89
20;631
20;71
20;205
20;89
20;319
20;429
20;280
20;167
21;319
21;390
21;89
21;412
21;366
21;278
21;256
21;83
21;303
21;404
21;89
21;115
21;32
21;303
21;100
21;278
21;342
21;89
21;332
21;332
21;460
21;185
21;390
21;235
21;412
21;185
21;191
21;460
21;350
21;412
21;460
22;375
22;175
22;185
22;332
22;259
22;191
22;332
22;375
22;303
22;29
22;648
22;30
22;235
22;151
22;29
22;458
22;122
22;159
22;468
22;310
22;390
22;29
22;191
22;305
22;109
23;191
23;324
23;213
23;332
23;350
23;235
23;332
23;191
23;324
23;89
23;324
23;32
23;235
23;295
23;310
23;237
23;332
23;29
23;235
23;279
23;467
23;38
23;332
23;458
23;163
23;410
23;7
23;310
23;29
24;29
24;197
24;332
24;310
24;410
24;332
24;410
24;410
24;332
24;350
24;324
24;310
24;22
24;317
24;89
24;458
24;458
24;269
24;197
24;89
24;115
24;271
24;365
24;410
25;82
25;458
25;366
25;190
25;129
25;321
25;190
25;322
25;89
25;190
25;212
25;366
25;236
25;22
25;89
25;80
25;332
25;332
25;170
25;89
26;612
26;256
26;300
26;332
26;404
26;89
26;256
26;21
26;221
26;89
26;265
26;366
26;332
26;213
26;468
26;115
26;22
26;366
26;89
26;165
27;429
27;429
27;332
27;237
27;30
27;89
27;269
27;159
27;175
27;122
27;30
27;175
27;151
27;115
27;410
27;159
27;237
27;259
27;175
27;310
27;468
27;159
27;467
27;159
27;169
27;332
27;332
27;171
27;76
27;468
27;648
27;332
28;332
28;89
28;332
28;151
28;468
28;332
28;30
28;332
28;175
28;332
28;332
28;62
28;360
28;129
28;310
28;237
28;89
28;7
28;295
28;213
28;468
28;273
28;145
28;175
28;159
28;365
28;636
28;310
28;467
28;38
29;295
29;365
29;365
29;317
29;310
29;292
29;279
29;332
29;285
29;467
29;317
29;39
29;600
29;317
29;366
29;648
29;332
29;212
29;259
29;89
29;236
30;129
30;317
30;321
30;89
30;332
30;122
30;467
30;129
30;332
30;129
30;72
30;170
30;332
30;236
30;221
30;212
30;467
31;185
31;89
31;321
31;349
31;221
31;212
31;38
31;21
31;310
31;322
31;332
31;80
31;221
31;165
31;221
31;332
31;82
31;236
31;332
31;165
31;41
31;332
31;165
32;434
32;612
32;21
32;466
32;321
32;269
32;444
32;169
32;410
32;80
32;265
32;165
32;62
32;129
32;621
32;332
32;171
32;332
32;62
32;236
32;459
32;169
32;89
32;122
32;76
32;265
32;269
32;115
32;322
32;89
33;122
33;332
33;169
33;648
33;89
33;332
33;420
33;265
33;76
33;236
33;89
33;39
33;636
33;82
33;171
33;171
33;409
33;139
33;648
33;89
33;332
33;171
33;89
33;145
33;193
33;332
33;89
33;332
33;273
33;332
33;42
33;332
34;145
34;282
34;22
34;145
34;164
34;285
34;292
34;636
34;39
34;89
34;62
34;62
34;89
34;332
34;600
34;332
34;332
34;600
34;260
34;22
34;39
34;145
35;78
35;62
35;410
35;5
35;89
35;39
35;332
35;39
35;292
35;39
35;18
35;171
35;434
35;145
35;434
35;72
35;648
35;367
36;285
36;129
36;13
36;332
36;129
36;360
36;72
36;434
36;332
36;89
36;89
36;434
36;466
36;185
36;221
36;434
36;3
36;434
36;632
36;89
36;116
36;41
37;7
37;466
37;89
37;218
37;332
37;89
37;444
37;39
37;41
37;349
37;310
37;621
37;104
37;263
37;89
37;89
37;89
37;89
37;636
37;332
37;89
37;420
37;145
37;89
37;89
37;409
37;444
37;89
37;621
37;332
37;122
37;41
37;157
37;336
38;332
38;89
38;332
38;332
38;39
38;280
38;332
38;89
38;459
38;60
38;332
38;420
38;621
38;409
38;193
38;89
38;42
38;39
38;332
38;164
38;101
38;332
38;89
38;89
38;89
38;89
38;332
38;193
38;345
38;420
38;59
38;332
38;332
38;89
38;409
38;409
38;282
38;164
39;459
39;89
39;282
39;296
39;89
39;89
39;193
39;141
39;363
39;165
39;139
39;210
39;39
39;89
39;381
39;444
39;332
39;89
39;444
39;332
39;332
39;39
39;153
39;82
39;332
39;89
39;78
39;78
39;332
39;332
39;145
39;332
39;154
39;332
40;420
40;332
40;42
40;332
40;139
40;89
40;78
40;18
40;367
40;285
40;367
40;89
40;89
40;5
40;211
40;164
40;260
40;5
40;78
40;310
40;260
40;22
40;18
41;78
41;139
41;164
41;332
41;349
41;142
41;89
41;332
41;260
41;22
41;18
41;217
41;332
41;420
41;349
41;205
41;13
41;13
41;221
41;332
41;367
41;3
41;263
41;280
41;332
41;632
42;332
42;89
42;116
42;116
42;104
42;332
42;367
42;218
42;332
42;357
42;332
42;322
42;89
42;13
42;218
42;13
42;332
43;263
43;332
43;332
43;89
43;157
43;332
43;3
43;89
43;26
43;59
43;60
43;280
43;59
43;296
43;89
43;60
43;210
43;614
43;224
43;89
43;345
43;141
43;141
43;280
43;332
43;89
43;363
43;165
44;89
44;101
44;210
44;332
44;394
44;116
44;296
44;210
44;381
44;296
44;165
44;165
44;210
44;89
44;154
44;157
44;332
44;153
44;210
44;332
44;153
44;221
44;210
44;332
44;332
44;332
44;332
44;141
44;332
44;176
44;332
44;210
44;298
44;459
44;141
44;317
45;151
45;211
45;83
45;89
45;457
45;219
45;154
45;217
45;153
45;154
45;363
45;363
45;3
45;101
45;165
45;104
45;89
45;403
45;154
45;166
45;104
45;165
45;310
45;381
45;332
45;332
45;310
45;89
46;13
46;211
46;211
46;407
46;154
46;89
46;332
46;60
46;89
46;89
46;332
46;78
46;217
46;332
46;296
46;89
46;332
46;344
46;345
47;332
47;26
47;205
47;229
47;332
47;60
47;89
47;332
47;205
47;142
47;80
47;410
47;614
47;260
47;205
47;357
47;202
47;89
47;89
47;214
48;142
48;59
48;156
48;332
48;205
48;322
48;169
48;142
48;89
48;332
48;459
48;224
48;357
48;89
48;101
48;332
48;332
48;89
49;332
49;332
49;332
49;89
49;636
49;224
49;89
49;89
49;83
49;89
49;282
49;89
49;332
49;332
49;83
49;224
49;332
49;332
49;332
49;221
49;322
49;101
49;317
49;298
49;89
49;211
49;168
49;297
49;322
49;332
49;166
49;83
49;140
49;166
50;298
50;129
50;608
50;166
50;167
50;407
50;332
50;151
50;457
50;166
50;614
50;353
50;101
50;332
50;403
50;403
50;332
50;56
50;463
50;219
50;176
50;89
50;89
50;317
50;83
50;403
50;89
50;176
50;83
50;63
51;407
51;89
51;89
51;332
51;104
51;283
51;335
51;60
51;89
51;83
51;229
51;403
51;410
51;216
51;332
51;407
51;169
51;22
51;227
52;267
52;403
52;332
52;407
52;202
52;229
52;344
52;260
52;114
52;410
52;260
52;156
52;78
52;176
52;83
52;260
52;257
52;89
52;89
52;89
52;332
52;80
52;260
52;344
52;614
52;614
52;89
52;89
52;335
52;89
52;335
53;332
53;614
53;260
53;229
53;89
53;89
53;178
53;614
53;282
53;16
53;260
53;297
53;282
53;614
53;156
53;332
53;636
54;332
54;89
54;65
54;332
54;167
54;332
54;394
54;636
54;89
54;89
54;117
54;89
54;457
54;282
54;167
54;89
54;56
54;167
54;89
54;215
54;168
54;353
54;635
54;353
54;90
54;394
55;332
55;167
55;129
55;75
55;297
55;89
55;332
55;168
55;636
55;332
55;608
55;66
55;111
55;140
55;332
55;297
55;353
55;129
55;216
55;353
55;60
55;56
56;407
56;216
56;81
56;332
56;257
56;332
56;297
56;114
56;267
56;129
56;332
56;282
56;89
56;89
56;335
56;335
56;63
56;332
56;227
56;267
56;89
56;267
56;216
56;332
57;320
57;63
57;89
57;229
57;89
57;89
57;216
57;178
57;335
57;89
57;111
57;335
57;89
57;16
57;257
57;260
57;31
57;335
57;267
57;332
57;394
57;114
58;89
58;22
58;227
