Day; Zone
4;264
4;420
4;337
4;160
4;335
4;79
4;280
4;301
4;160
4;295
4;103
4;160
4;262
4;86
5;55
5;314
5;56
5;133
5;331
5;329
5;463
5;601
5;375
5;295
5;463
5;253
5;253
5;459
5;274
5;337
5;103
5;66
5;23
5;131
5;5
5;248
5;200
5;232
5;152
5;420
5;55
5;280
5;353
5;116
5;629
5;601
5;23
5;463
5;16
5;353
5;66
5;75
5;368
5;355
5;259
5;261
5;264
5;248
5;264
5;75
5;601
5;75
5;433
5;235
5;462
5;75
5;253
5;248
5;72
5;198
5;176
5;5
5;337
5;261
5;16
5;335
5;333
5;212
5;45
5;213
5;381
5;353
5;12
5;50
5;415
5;232
5;1
5;40
5;40
5;41
5;75
5;307
5;200
5;40
5;649
5;32
5;45
5;79
5;176
5;28
5;51
5;235
5;333
5;261
5;601
5;101
5;333
5;333
5;420
5;176
5;253
5;160
5;429
5;1
5;630
5;238
5;28
5;280
6;79
6;78
6;278
6;55
6;1
6;462
6;133
6;213
6;249
6;286
6;131
6;131
6;133
6;164
6;176
6;176
6;16
6;463
6;429
6;41
6;201
6;166
6;301
6;160
6;16
6;12
6;166
6;337
6;314
6;51
6;103
6;232
6;131
6;601
6;101
6;23
6;50
6;28
6;629
6;630
6;436
6;176
6;278
6;331
6;280
6;198
6;108
6;629
6;262
6;164
6;235
6;40
6;45
6;78
6;353
6;286
6;232
6;353
6;331
6;232
6;355
6;459
6;462
6;188
6;433
6;152
6;403
6;134
6;649
6;313
6;340
6;79
6;164
6;28
6;188
6;420
6;262
6;280
6;375
6;262
6;262
6;12
6;166
6;296
6;277
6;249
6;152
6;314
6;446
6;176
6;116
6;133
6;315
6;201
6;362
6;160
6;429
6;386
6;262
6;433
6;323
6;333
6;353
6;249
6;160
6;433
6;403
6;200
6;50
6;463
6;166
6;286
6;420
6;213
6;152
6;377
6;160
6;103
6;32
6;459
7;301
7;201
7;51
7;68
7;66
7;329
7;274
7;32
7;301
7;264
7;249
7;601
7;367
7;108
7;131
7;86
7;238
7;108
7;198
7;102
7;354
7;462
7;381
7;377
7;164
7;160
7;199
7;102
7;363
7;116
7;331
7;160
7;42
7;160
7;157
7;601
7;613
7;51
7;40
7;649
7;166
7;320
7;59
7;157
7;164
7;238
7;353
7;51
7;50
7;101
7;51
7;249
7;175
7;160
7;23
7;444
7;368
7;295
7;140
7;32
7;601
7;12
7;363
7;133
7;307
7;23
8;630
8;176
8;262
8;50
8;32
8;23
8;160
8;375
8;196
8;160
8;295
8;4
8;90
8;32
8;337
8;286
9;224
9;212
9;353
9;329
9;434
9;248
9;237
9;405
9;5
9;438
9;157
10;55
10;426
10;160
10;176
10;160
10;103
10;145
10;79
10;393
10;405
10;253
10;152
10;267
10;238
10;403
10;451
10;459
10;310
10;368
10;275
10;482
10;367
11;367
11;312
11;393
11;338
11;24
11;386
11;87
11;135
11;362
11;367
11;335
11;296
11;261
11;451
11;613
11;375
11;265
11;386
11;23
11;363
11;315
11;386
11;414
11;175
11;262
11;253
11;253
11;68
11;262
11;152
11;410
11;613
11;23
11;248
12;323
12;101
12;56
12;196
12;262
12;469
12;463
12;613
12;367
12;262
12;307
12;152
12;206
12;42
12;175
12;313
12;152
12;380
12;175
12;613
12;379
12;262
12;175
12;303
12;354
12;463
12;42
12;459
12;23
12;23
12;146
12;444
12;140
12;104
12;152
12;90
12;482
12;152
12;613
12;55
12;152
12;461
13;354
13;320
13;386
13;42
13;320
13;613
13;113
13;51
13;628
13;262
13;412
13;90
13;444
13;152
13;206
13;42
13;323
13;42
13;4
13;444
13;130
13;438
13;324
13;175
13;320
13;68
13;288
13;444
13;447
13;4
13;196
13;196
13;37
13;42
13;196
13;281
14;152
14;94
14;217
14;353
14;438
14;262
14;451
14;363
14;140
14;4
14;405
14;262
14;363
14;444
14;28
14;323
14;176
14;320
14;426
14;393
14;426
14;335
14;434
14;103
14;310
14;353
14;388
14;264
14;405
14;162
15;145
15;405
15;482
15;438
15;267
15;426
15;216
15;248
15;238
15;267
15;310
15;238
15;23
15;214
15;368
15;393
15;451
15;405
15;438
15;176
15;426
15;79
15;176
15;631
15;438
15;24
15;238
15;403
15;339
15;267
15;265
15;237
15;338
15;405
15;622
15;135
15;24
15;335
15;451
15;393
16;459
16;87
16;451
16;56
16;307
16;253
16;135
16;310
16;310
16;265
16;55
16;393
16;363
16;152
16;403
16;265
16;275
16;79
16;56
16;135
16;275
16;101
16;613
16;68
16;338
16;312
16;87
16;410
16;307
16;469
16;152
16;248
16;414
16;451
16;152
16;433
16;367
16;426
16;226
16;24
16;261
16;461
16;248
16;310
16;24
16;445
16;312
16;265
17;392
17;96
17;303
17;261
17;363
17;152
17;152
17;393
17;152
17;455
17;238
17;354
17;461
17;307
17;206
17;393
17;307
17;414
17;368
17;238
17;56
17;142
17;206
17;324
17;393
17;335
17;104
17;101
17;248
17;628
17;262
17;379
17;262
17;354
17;224
17;104
17;376
17;613
17;237
17;367
17;206
17;463
17;55
17;145
17;303
17;482
17;152
17;146
17;152
17;79
17;261
17;380
17;196
17;238
18;146
18;335
18;123
18;379
18;469
18;410
18;620
18;37
18;452
18;380
18;262
18;24
18;469
18;281
18;324
18;206
18;262
18;152
18;628
18;23
18;152
18;324
18;130
18;323
18;410
18;404
18;152
18;101
18;323
18;55
18;341
18;608
18;320
18;463
18;37
18;51
18;459
18;152
18;467
18;262
18;201
18;384
18;388
18;354
18;130
18;23
18;152
18;130
18;324
19;196
19;179
19;248
19;388
19;152
19;68
19;362
19;628
19;367
19;94
19;281
19;262
19;190
19;206
19;281
19;21
19;262
19;412
19;323
19;113
19;427
19;288
19;264
19;262
19;217
19;94
19;288
19;94
19;28
19;412
19;380
19;130
19;28
19;94
19;51
19;375
19;173
19;246
19;262
19;152
19;37
19;37
20;281
20;28
20;220
20;214
20;324
20;162
20;28
20;335
20;130
20;363
20;447
20;459
20;152
20;130
20;425
20;281
20;28
20;216
20;108
20;217
20;134
20;363
20;461
20;253
20;103
20;152
20;368
20;383
20;238
20;68
20;214
20;21
20;152
20;216
20;323
20;162
21;447
21;54
21;323
21;445
21;392
21;358
21;28
21;226
21;445
21;402
21;152
21;376
21;298
21;622
21;393
21;339
21;445
21;73
21;76
21;631
21;253
21;238
21;79
21;142
21;376
21;624
21;142
21;433
21;613
21;393
21;216
21;238
21;51
21;264
21;96
21;445
22;123
22;261
22;353
22;201
22;261
22;253
22;306
22;433
22;5
22;181
22;376
22;455
22;51
22;28
22;455
22;96
22;455
22;335
22;335
22;438
22;433
22;96
22;368
22;467
22;467
22;467
22;123
22;149
