Zone,Cases
362,115
16,77
610,71
258,97
374,73
61,61
8,37
313,105
303,55
125,52
36,89
182,76
351,31
186,72
194,39
460,30
134,56
58,83
114,92
381,39
41,105
603,66
217,63
73,67
51,171
325,45
292,77
176,66
153,47
449,57
135,102
278,62
602,89
159,55
59,109
156,105
450,81
395,55
424,63
110,62
417,82
139,69
628,64
207,62
396,71
432,52
293,74
403,43
104,90
349,67
405,54
155,57
205,74
357,92
346,56
175,98
222,110
311,82
416,74
425,85
286,48
227,66
457,54
108,74
438,70
132,67
213,46
615,63
429,36
173,71
600,33
24,116
624,60
169,74
382,49
121,62
219,85
65,67
324,60
231,51
71,60
82,62
334,75
178,67
384,43
189,71
254,44
142,75
94,71
11,56
433,62
648,44
442,51
356,37
339,108
191,56
167,77
428,77
214,84
288,54
267,80
120,80
458,31
341,73
621,30
35,76
330,63
623,49
22,54
170,55
38,47
6,59
67,87
29,98
622,55
146,53
42,88
70,59
221,65
140,59
158,93
431,71
247,46
367,67
91,77
435,42
402,52
75,62
19,91
23,99
174,52
468,46
636,66
124,75
27,59
414,81
92,71
295,37
20,73
256,58
46,65
81,62
389,76
280,108
113,94
123,70
78,50
208,80
391,45
626,39
617,56
136,71
119,54
171,109
103,76
45,65
162,67
605,50
206,51
183,57
372,40
412,41
329,54
333,47
354,40
283,111
296,60
297,54
620,47
48,70
60,50
444,62
633,78
195,77
126,48
347,76
7,52
157,47
168,59
461,55
441,36
355,59
408,35
107,43
10,72
255,61
454,56
102,55
172,45
15,75
49,80
359,59
434,35
609,34
260,45
399,48
390,63
465,45
451,81
96,58
345,85
613,54
635,72
651,51
279,99
37,49
68,84
445,86
245,51
353,47
393,71
632,44
401,76
397,64
223,90
5,50
614,67
427,83
328,47
66,44
199,75
616,52
327,41
87,70
388,51
276,103
282,69
265,101
129,73
290,50
180,48
406,29
322,84
145,69
184,65
166,87
415,31
298,68
394,42
321,41
86,65
13,45
304,61
43,62
315,54
612,29
629,65
138,60
601,33
50,68
190,47
361,68
34,73
611,48
127,41
100,69
398,41
198,56
447,41
317,77
430,58
466,57
39,56
115,52
106,60
105,58
336,76
373,61
469,35
606,55
627,59
116,61
95,41
218,72
216,54
202,66
225,45
26,76
369,66
337,114
312,63
363,79
344,38
53,65
452,54
149,62
309,53
271,41
2,35
385,61
274,61
18,67
83,61
368,55
209,52
63,53
229,41
79,49
151,39
62,43
448,73
224,61
300,61
360,55
150,39
301,41
443,62
141,45
21,51
246,58
52,117
154,64
275,59
305,51
188,59
33,50
32,64
101,61
631,36
440,82
77,42
420,57
281,55
130,59
285,37
268,38
54,73
237,42
437,48
47,58
308,66
164,46
122,65
131,57
84,42
400,40
165,110
284,80
44,48
112,71
185,58
320,37
352,40
3,50
74,47
181,57
80,54
197,47
111,57
371,32
380,22
160,54
17,79
4,42
375,42
273,32
1,73
210,58
226,42
76,80
220,31
456,42
215,50
252,60
69,33
28,46
459,56
376,70
30,69
88,47
137,41
482,57
387,60
55,55
90,70
426,62
625,31
407,46
40,77
235,33
607,55
291,67
257,36
109,78
409,39
177,36
471,41
446,86
422,63
99,47
144,46
319,65
14,59
187,48
239,28
93,49
307,86
117,39
272,56
310,40
331,51
436,43
143,71
604,60
9,128
211,36
201,53
410,41
306,58
230,50
314,29
365,49
343,52
419,46
72,32
392,37
12,33
370,39
152,109
379,42
193,47
302,64
318,46
56,49
163,34
608,55
383,44
350,29
463,36
439,38
277,57
204,48
348,44
338,33
242,50
342,57
31,53
386,45
250,42
377,33
358,28
467,34
335,33
133,41
192,27
462,70
57,52
118,57
418,8
455,41
366,40
97,36
323,38
340,46
212,42
294,36
234,46
263,24
404,25
236,40
196,35
25,50
411,31
264,30
453,21
179,49
200,44
128,31
289,3
270,16
332,26
266,10
259,3
85,15
421,4
378,2
299,14
248,1
249,2
64,5
316,3
233,1
244,3
262,2
203,3
634,1
637,1
253,2
161,1
98,1
364,0
618,0
630,0
470,0
464,0
423,0
413,0
89,0
238,0
240,0
241,0
243,0
251,0
261,0
269,0
619,0
228,0
649,0
326,0
232,0
147,0
148,0
