"tick","Susceptible","Exposed","Infected","Immune","Dead"
1,299667,55,278,0,0
2,299658,64,278,0,0
3,299652,70,278,0,0
4,299644,78,278,0,0
5,299641,81,278,0,0
6,299638,84,278,0,0
7,299633,89,278,0,0
8,299626,96,278,0,0
9,299615,107,278,0,0
10,299610,112,278,0,0
11,299606,116,278,0,0
12,299603,119,278,0,0
13,299591,131,278,0,0
14,299584,138,278,0,0
15,299576,146,278,0,0
16,299574,148,278,0,0
17,299570,152,278,0,0
18,299565,157,278,0,0
19,299560,162,278,0,0
20,299553,169,278,0,0
21,299548,174,278,0,0
22,299543,179,278,0,0
23,299540,182,278,0,0
24,299533,189,278,0,0
25,299530,192,278,0,0
26,299526,196,278,0,0
27,299521,201,278,0,0
28,299516,205,279,0,0
29,299510,211,279,0,0
30,299504,217,279,0,0
31,299501,219,280,0,0
32,299500,220,280,0,0
33,299492,227,281,0,0
34,299484,234,282,0,0
35,299479,239,282,0,0
36,299471,247,282,0,0
37,299463,255,282,0,0
38,299454,260,286,0,0
39,299448,264,288,0,0
40,299440,271,289,0,0
41,299435,276,289,0,0
42,299427,284,289,0,0
43,299423,287,290,0,0
44,299418,292,290,0,0
45,299414,296,290,0,0
46,299413,296,291,0,0
47,299405,302,293,0,0
48,299401,304,295,0,0
49,299399,304,297,0,0
50,299395,305,300,0,0
51,299388,308,304,0,0
52,299377,318,305,0,0
53,299372,319,309,0,0
54,299368,320,312,0,0
55,299362,325,313,0,0
56,299358,328,314,0,0
57,299352,334,314,0,0
58,299339,343,318,0,0
59,299339,341,320,0,0
60,299330,345,325,0,0
61,299327,345,328,0,0
62,299318,351,331,0,0
63,299315,349,336,0,0
64,299311,350,339,0,0
65,299307,349,344,0,0
66,299299,352,349,0,0
67,299290,355,355,0,0
68,299281,360,359,0,0
69,299277,356,367,0,0
70,299270,361,369,0,0
71,299266,359,375,0,0
72,299259,361,380,0,0
73,299257,363,379,1,0
74,299248,365,386,1,0
75,299239,368,392,1,0
76,299232,371,396,1,0
77,299225,373,401,1,0
78,299222,372,405,1,0
79,299215,374,409,2,0
80,299207,377,414,2,0
81,299201,381,416,2,0
82,299195,380,423,2,0
83,299186,385,427,2,0
84,299177,389,432,2,0
85,299174,386,437,3,0
86,299168,378,451,3,0
87,299163,377,456,4,0
88,299158,378,460,4,0
89,299150,383,463,4,0
90,299145,381,470,4,0
91,299136,388,472,4,0
92,299127,395,473,5,0
93,299115,398,482,5,0
94,299111,399,485,5,0
95,299103,405,487,5,0
96,299091,415,489,5,0
97,299083,418,494,5,0
98,299071,424,500,5,0
99,299065,428,502,5,0
100,299057,428,510,5,0
101,299038,444,513,5,0
102,299030,450,513,7,0
103,299019,456,517,8,0
104,299010,455,526,9,0
105,298994,465,532,9,0
106,298985,466,540,9,0
107,298979,469,543,9,0
108,298971,470,550,9,0
109,298959,475,557,9,0
110,298948,480,562,10,0
111,298940,479,571,10,0
112,298930,485,575,10,0
113,298924,487,579,10,0
114,298915,491,584,10,0
115,298909,490,591,10,0
116,298902,490,598,10,0
117,298895,491,604,10,0
118,298883,495,612,10,0
119,298870,498,622,10,0
120,298861,500,629,10,0
121,298845,507,638,10,0
122,298834,511,645,10,0
123,298824,517,648,11,0
124,298814,522,651,13,0
125,298803,526,657,14,0
126,298786,537,662,15,0
127,298777,541,667,15,0
128,298765,547,673,15,0
129,298755,549,681,15,0
130,298742,553,690,15,0
131,298725,565,694,16,0
132,298716,572,696,16,0
133,298698,583,702,17,0
134,298686,587,710,17,0
135,298675,592,715,17,1
136,298666,591,725,17,1
137,298658,593,729,19,1
138,298647,599,734,19,1
139,298636,607,737,19,1
140,298623,615,742,19,1
141,298616,610,753,20,1
142,298599,618,761,21,1
143,298585,625,767,22,1
144,298574,630,773,22,1
145,298563,630,784,22,1
146,298550,634,793,22,1
147,298522,657,797,23,1
148,298503,669,802,25,1
149,298483,682,809,25,1
150,298467,690,816,26,1
151,298451,696,825,27,1
152,298441,704,827,27,1
153,298423,710,838,28,1
154,298407,721,843,28,1
155,298388,736,845,30,1
156,298367,749,852,31,1
157,298347,763,858,31,1
158,298334,766,868,31,1
159,298317,772,879,31,1
160,298303,778,885,33,1
161,298285,780,900,34,1
162,298269,789,904,37,1
163,298260,790,912,37,1
164,298251,789,922,37,1
165,298241,790,931,37,1
166,298227,791,943,38,1
167,298202,806,952,39,1
168,298190,809,961,39,1
169,298176,814,969,39,2
170,298156,827,976,39,2
171,298143,837,977,41,2
172,298136,838,981,43,2
173,298129,837,989,43,2
174,298115,845,994,44,2
175,298095,856,1002,45,2
176,298070,875,1008,45,2
