"tick","Susceptible","Exposed","Infected","Immune","Dead"
1,8956,1034,10,0,0
2,8956,1034,10,0,0
3,8956,1034,10,0,0
4,8956,1034,10,0,0
5,8956,1034,10,0,0
6,8956,1034,10,0,0
7,8956,1034,10,0,0
8,8955,1035,10,0,0
9,8955,1035,10,0,0
10,8955,1035,10,0,0
11,8955,1035,10,0,0
12,8955,1035,10,0,0
13,8955,1035,10,0,0
14,8955,1035,10,0,0
15,8955,1035,10,0,0
16,8955,1035,10,0,0
17,8955,1035,10,0,0
18,8955,1035,10,0,0
19,8955,1035,10,0,0
20,8955,1035,10,0,0
21,8955,1035,10,0,0
22,8955,1035,10,0,0
23,8955,1035,10,0,0
24,8955,1024,21,0,0
25,8955,1024,21,0,0
26,8955,1018,27,0,0
27,8955,1015,30,0,0
28,8955,1013,32,0,0
29,8955,1009,36,0,0
30,8955,1006,39,0,0
31,8955,999,46,0,0
32,8955,993,52,0,0
33,8955,981,64,0,0
34,8955,975,70,0,0
35,8955,968,77,0,0
36,8955,962,83,0,0
37,8954,955,91,0,0
38,8954,947,99,0,0
39,8954,942,104,0,0
40,8954,929,117,0,0
41,8954,911,135,0,0
42,8954,903,143,0,0
43,8954,894,152,0,0
44,8954,878,168,0,0
45,8954,862,184,0,0
46,8954,838,208,0,0
47,8954,825,221,0,0
48,8954,810,236,0,0
49,8954,781,265,0,0
50,8954,767,279,0,0
51,8954,747,299,0,0
52,8954,729,317,0,0
53,8954,713,333,0,0
54,8953,694,353,0,0
55,8953,682,365,0,0
56,8953,666,381,0,0
57,8953,646,401,0,0
58,8953,628,419,0,0
59,8953,604,443,0,0
60,8953,583,464,0,0
61,8953,565,482,0,0
62,8953,548,499,0,0
63,8953,536,511,0,0
64,8953,515,532,0,0
65,8953,501,546,0,0
66,8953,483,564,0,0
67,8953,463,584,0,0
68,8953,440,607,0,0
69,8952,425,623,0,0
70,8952,398,650,0,0
71,8952,378,670,0,0
72,8952,360,688,0,0
73,8952,343,705,0,0
74,8951,324,725,0,0
75,8951,309,740,0,0
76,8951,295,754,0,0
77,8950,279,771,0,0
78,8950,265,785,0,0
79,8950,258,792,0,0
80,8950,243,807,0,0
81,8950,235,815,0,0
82,8950,226,824,0,0
83,8950,216,834,0,0
84,8950,208,842,0,0
85,8949,202,849,0,0
86,8949,189,862,0,0
87,8949,173,878,0,0
88,8949,164,887,0,0
89,8948,159,893,0,0
90,8948,145,907,0,0
91,8948,134,918,0,0
92,8947,124,929,0,0
93,8947,118,935,0,0
94,8947,116,937,0,0
95,8947,110,943,0,0
96,8947,105,948,0,0
97,8947,100,953,0,0
98,8947,99,954,0,0
99,8947,95,958,0,0
100,8946,93,961,0,0
101,8946,88,966,0,0
102,8946,80,974,0,0
103,8946,72,982,0,0
104,8946,68,986,0,0
105,8946,61,993,0,0
106,8946,58,996,0,0
107,8945,56,999,0,0
108,8945,55,1000,0,0
109,8945,48,1007,0,0
110,8945,45,1010,0,0
111,8945,44,1011,0,0
112,8945,43,1012,0,0
113,8945,40,1015,0,0
114,8944,39,1017,0,0
115,8944,36,1020,0,0
116,8943,33,1024,0,0
117,8943,31,1026,0,0
118,8943,23,1034,0,0
119,8943,21,1036,0,0
120,8943,21,1036,0,0
121,8943,20,1037,0,0
122,8940,22,1038,0,0
123,8940,21,1039,0,0
124,8940,21,1039,0,0
125,8940,19,1041,0,0
126,8938,20,1042,0,0
127,8938,20,1042,0,0
128,8938,20,1042,0,0
129,8938,20,1042,0,0
130,8938,20,1042,0,0
131,8938,20,1042,0,0
132,8937,21,1042,0,0
133,8937,21,1042,0,0
134,8937,19,1044,0,0
135,8937,19,1044,0,0
136,8937,19,1044,0,0
137,8937,18,1045,0,0
138,8937,17,1046,0,0
139,8937,15,1048,0,0
140,8937,15,1048,0,0
141,8937,15,1048,0,0
142,8937,15,1048,0,0
143,8937,14,1049,0,0
144,8937,14,1049,0,0
145,8937,14,1049,0,0
146,8937,14,1049,0,0
147,8936,15,1049,0,0
148,8935,15,1050,0,0
149,8935,15,1050,0,0
150,8935,15,1050,0,0
151,8935,14,1051,0,0
152,8934,15,1051,0,0
153,8934,15,1051,0,0
154,8934,15,1051,0,0
155,8934,15,1051,0,0
156,8934,15,1051,0,0
157,8934,15,1051,0,0
158,8934,15,1051,0,0
159,8934,14,1052,0,0
160,8934,14,1052,0,0
161,8934,14,1052,0,0
162,8934,14,1052,0,0
163,8934,14,1052,0,0
164,8933,15,1052,0,0
165,8932,16,1052,0,0
166,8932,16,1052,0,0
167,8932,15,1053,0,0
168,8932,15,1053,0,0
169,8931,16,1053,0,0
170,8931,16,1052,1,0
171,8931,15,1053,1,0
172,8931,15,1053,1,0
173,8931,14,1054,1,0
174,8931,14,1054,1,0
175,8931,14,1054,1,0
176,8931,14,1054,1,0
177,8931,14,1054,1,0
178,8931,14,1054,1,0
179,8931,13,1055,1,0
180,8931,13,1055,1,0
181,8931,12,1056,1,0
182,8931,12,1056,1,0
183,8931,11,1057,1,0
184,8930,11,1058,1,0
185,8930,11,1058,1,0
186,8930,11,1058,1,0
187,8930,10,1059,1,0
188,8930,10,1058,2,0
189,8930,10,1058,2,0
190,8930,10,1058,2,0
191,8930,10,1058,2,0
192,8930,9,1059,2,0
193,8930,9,1059,2,0
194,8930,9,1059,2,0
195,8929,10,1059,2,0
196,8929,10,1059,2,0
197,8929,10,1059,2,0
198,8929,10,1059,2,0
199,8929,10,1059,2,0
200,8929,10,1059,2,0
201,8929,10,1059,2,0
202,8929,10,1058,3,0
203,8929,10,1058,3,0
204,8928,11,1058,3,0
205,8928,11,1058,3,0
206,8928,10,1059,3,0
207,8928,10,1058,4,0
208,8928,10,1058,4,0
209,8928,10,1057,5,0
210,8928,10,1057,5,0
211,8928,9,1057,6,0
212,8928,9,1055,8,0
213,8927,10,1055,8,0
214,8927,9,1056,8,0
215,8927,9,1056,8,0
216,8926,10,1055,9,0
217,8925,11,1055,9,0
218,8924,12,1055,9,0
219,8924,12,1054,10,0
220,8924,11,1055,10,0
221,8924,11,1055,10,0
222,8924,11,1055,10,0
223,8924,11,1055,10,0
224,8924,9,1055,12,0
225,8924,9,1054,13,0
226,8924,9,1049,18,0
227,8924,9,1049,18,0
228,8924,9,1048,19,0
229,8923,10,1048,19,0
230,8923,10,1046,21,0
231,8923,10,1046,21,0
232,8923,10,1046,21,0
233,8923,10,1046,21,0
234,8923,10,1044,23,0
235,8923,10,1041,26,0
236,8923,9,1041,27,0
237,8923,9,1040,28,0
238,8923,9,1040,28,0
239,8923,9,1037,31,0
240,8923,8,1037,32,0
241,8923,8,1036,33,0
242,8923,8,1035,34,0
243,8923,8,1031,37,1
244,8923,8,1030,38,1
245,8922,8,1027,42,1
246,8922,7,1026,44,1
247,8922,7,1023,46,2
248,8922,7,1022,47,2
249,8922,7,1021,48,2
250,8922,6,1020,50,2
251,8922,6,1016,54,2
252,8922,6,1014,56,2
253,8922,5,1011,60,2
254,8922,5,1010,61,2
255,8922,5,1008,63,2
256,8922,5,1006,65,2
257,8920,7,1005,66,2
258,8920,7,1004,67,2
259,8920,7,1004,67,2
260,8920,7,1002,69,2
261,8920,7,995,75,3
262,8920,7,994,76,3
263,8918,9,988,81,4
264,8918,7,986,84,5
265,8918,7,986,84,5
266,8918,7,983,87,5
267,8918,7,980,90,5
268,8918,7,979,91,5
269,8918,7,974,96,5
270,8918,7,973,97,5
271,8918,7,972,98,5
272,8918,7,968,102,5
273,8917,8,963,107,5
274,8917,8,959,110,6
275,8916,9,958,111,6
276,8916,9,956,113,6
277,8916,9,952,117,6
278,8916,9,943,126,6
279,8915,10,937,132,6
280,8915,10,934,135,6
281,8915,10,931,138,6
282,8915,10,928,141,6
283,8915,10,923,146,6
284,8914,11,922,147,6
285,8914,11,915,154,6
286,8914,11,911,158,6
287,8914,11,907,162,6
288,8914,11,907,162,6
289,8914,11,906,163,6
290,8914,10,905,165,6
291,8913,11,904,166,6
292,8913,11,902,168,6
293,8913,11,898,172,6
294,8913,11,893,177,6
295,8913,11,889,181,6
296,8913,11,882,188,6
297,8913,10,880,191,6
298,8913,10,878,193,6
299,8913,10,877,194,6
300,8913,10,873,197,7
301,8913,10,868,202,7
302,8913,9,868,203,7
303,8913,9,866,205,7
304,8912,10,864,206,8
305,8911,11,860,210,8
306,8911,11,859,211,8
307,8911,11,859,211,8
308,8911,11,854,216,8
309,8911,11,851,219,8
310,8911,11,851,219,8
311,8911,11,846,224,8
312,8911,11,844,226,8
313,8911,11,841,229,8
314,8910,12,839,231,8
315,8910,12,838,232,8
316,8909,13,837,233,8
317,8909,13,832,237,9
318,8908,14,831,238,9
319,8908,12,829,242,9
320,8908,12,825,246,9
321,8908,12,815,256,9
322,8908,12,811,260,9
323,8907,12,809,263,9
324,8907,12,806,266,9
325,8907,12,802,270,9
326,8907,12,799,273,9
327,8907,12,797,275,9
328,8907,12,793,278,10
329,8907,12,788,283,10
330,8907,12,787,284,10
331,8907,12,785,286,10
332,8907,12,780,291,10
333,8907,12,776,294,11
334,8907,12,776,294,11
335,8907,11,777,294,11
336,8907,11,774,297,11
337,8907,11,774,297,11
338,8907,11,770,300,12
