"tick","Susceptible","Exposed","Infected","Immune","Dead"
1,299942,29,29,0,0
2,299942,29,29,0,0
3,299942,29,29,0,0
4,299942,29,29,0,0
5,299942,29,29,0,0
6,299942,29,29,0,0
7,299942,29,29,0,0
8,299942,29,29,0,0
9,299942,29,29,0,0
10,299942,29,29,0,0
11,299942,29,29,0,0
12,299942,29,29,0,0
13,299942,29,29,0,0
14,299942,29,29,0,0
15,299942,29,29,0,0
16,299942,29,29,0,0
17,299942,29,29,0,0
18,299942,29,29,0,0
19,299942,29,29,0,0
20,299942,29,29,0,0
21,299942,29,29,0,0
22,299942,29,29,0,0
23,299942,29,29,0,0
24,299942,29,29,0,0
25,299942,29,29,0,0
26,299942,29,29,0,0
27,299942,29,29,0,0
28,299942,29,29,0,0
29,299942,29,29,0,0
30,299942,29,29,0,0
31,299942,27,31,0,0
32,299942,27,31,0,0
33,299942,27,31,0,0
34,299941,28,31,0,0
35,299941,28,31,0,0
36,299941,28,31,0,0
37,299940,29,31,0,0
38,299940,28,32,0,0
39,299940,28,32,0,0
40,299940,27,33,0,0
41,299940,27,33,0,0
42,299940,27,33,0,0
43,299939,28,33,0,0
44,299939,28,33,0,0
45,299939,28,33,0,0
46,299939,27,34,0,0
47,299939,26,35,0,0
48,299939,26,35,0,0
49,299939,26,35,0,0
50,299939,26,35,0,0
51,299939,26,35,0,0
52,299939,26,35,0,0
53,299939,26,35,0,0
54,299939,25,36,0,0
55,299939,25,36,0,0
56,299939,24,37,0,0
57,299939,24,37,0,0
58,299939,24,37,0,0
59,299939,24,37,0,0
60,299938,25,37,0,0
61,299938,24,38,0,0
62,299938,24,38,0,0
63,299938,23,39,0,0
64,299938,20,42,0,0
65,299938,20,42,0,0
66,299938,20,42,0,0
67,299938,19,43,0,0
68,299938,18,44,0,0
69,299938,17,45,0,0
70,299938,16,45,1,0
71,299938,16,45,1,0
72,299938,14,47,1,0
73,299938,14,47,1,0
74,299938,13,48,1,0
75,299938,13,48,1,0
76,299938,13,48,1,0
77,299938,13,48,1,0
78,299938,13,48,1,0
79,299938,13,48,1,0
80,299937,14,48,1,0
81,299937,14,48,1,0
82,299937,14,48,1,0
83,299937,13,49,1,0
84,299937,13,49,1,0
85,299936,13,50,1,0
86,299936,11,52,1,0
87,299936,11,52,1,0
88,299936,11,52,1,0
89,299936,10,53,1,0
90,299935,11,53,1,0
91,299935,10,54,1,0
92,299935,10,54,1,0
93,299935,9,55,1,0
94,299935,9,55,1,0
95,299935,9,55,1,0
96,299935,8,56,1,0
97,299935,8,56,1,0
98,299935,8,56,1,0
99,299935,8,56,1,0
100,299935,7,57,1,0
101,299935,7,57,1,0
102,299935,7,57,1,0
103,299935,5,59,1,0
104,299935,5,59,1,0
105,299935,5,59,1,0
106,299935,4,60,1,0
107,299935,4,60,1,0
108,299934,5,60,1,0
109,299934,5,60,1,0
110,299934,5,60,1,0
111,299934,5,60,1,0
112,299934,5,60,1,0
113,299934,5,60,1,0
114,299934,5,60,1,0
115,299934,5,60,1,0
116,299934,5,60,1,0
117,299934,5,60,1,0
118,299934,5,60,1,0
119,299934,5,60,1,0
120,299934,5,60,1,0
121,299933,6,60,1,0
122,299933,6,60,1,0
123,299933,6,60,1,0
124,299933,6,60,1,0
125,299933,6,60,1,0
126,299933,6,60,1,0
127,299933,6,60,1,0
128,299933,6,60,1,0
129,299933,6,60,1,0
130,299933,5,61,1,0
131,299933,5,61,1,0
132,299933,5,61,1,0
133,299933,5,61,1,0
134,299933,5,61,1,0
135,299933,5,61,1,0
136,299933,5,61,1,0
137,299933,5,61,1,0
138,299933,5,61,1,0
139,299933,5,61,1,0
140,299933,5,61,1,0
141,299933,5,61,1,0
142,299933,5,61,1,0
143,299933,5,61,1,0
144,299933,5,61,1,0
145,299933,5,61,1,0
146,299933,5,61,1,0
147,299933,5,61,1,0
148,299933,4,62,1,0
149,299933,4,62,1,0
150,299933,4,62,1,0
151,299933,4,62,1,0
152,299933,4,62,1,0
153,299933,4,62,1,0
154,299933,4,62,1,0
155,299933,4,61,2,0
156,299933,4,61,2,0
157,299932,5,61,2,0
158,299932,5,61,2,0
159,299932,4,62,2,0
160,299932,4,62,2,0
161,299932,4,62,2,0
162,299932,3,63,2,0
163,299932,3,63,2,0
164,299932,3,63,2,0
165,299932,3,63,2,0
166,299932,3,63,2,0
167,299932,3,63,2,0
168,299932,3,63,2,0
169,299932,3,63,2,0
170,299932,3,63,2,0
171,299932,2,64,2,0
172,299932,2,64,2,0
173,299932,2,64,2,0
174,299932,2,64,2,0
175,299932,2,64,2,0
176,299932,2,64,2,0
177,299932,2,64,2,0
178,299932,2,64,2,0
179,299932,1,64,3,0
180,299932,1,64,3,0
181,299932,1,64,3,0
182,299932,1,64,3,0
183,299932,1,64,3,0
184,299931,2,63,4,0
185,299931,2,62,5,0
186,299931,2,62,5,0
187,299931,2,62,5,0
188,299931,2,61,6,0
189,299931,2,61,6,0
190,299931,2,61,6,0
191,299931,2,61,6,0
192,299931,2,61,6,0
193,299931,2,61,6,0
194,299931,2,61,6,0
195,299931,2,61,6,0
196,299931,2,61,6,0
197,299931,2,61,6,0
198,299931,2,61,6,0
199,299931,2,61,6,0
200,299931,2,61,6,0
201,299931,2,61,6,0
202,299931,2,61,6,0
203,299930,3,61,6,0
204,299930,3,61,6,0
205,299930,3,61,6,0
206,299930,3,61,6,0
207,299930,3,61,6,0
208,299930,3,61,6,0
209,299930,3,61,6,0
210,299930,3,61,6,0
211,299930,3,61,6,0
212,299930,3,61,6,0
213,299930,2,62,6,0
214,299930,2,61,6,1
215,299930,2,61,6,1
216,299930,2,60,7,1
217,299930,2,60,7,1
218,299930,2,60,7,1
219,299930,2,60,7,1
220,299930,2,59,8,1
221,299930,2,59,8,1
222,299930,2,59,8,1
223,299930,2,59,8,1
224,299930,2,59,8,1
225,299930,2,59,8,1
226,299930,2,59,8,1
227,299930,2,59,8,1
228,299930,2,59,8,1
229,299930,2,59,8,1
230,299930,2,59,8,1
231,299930,2,59,8,1
232,299930,2,59,8,1
233,299930,2,59,8,1
234,299930,2,59,8,1
235,299930,2,59,8,1
236,299930,2,59,8,1
237,299930,1,60,8,1
238,299930,1,60,8,1
239,299930,1,60,8,1
240,299930,1,60,8,1
241,299930,1,60,8,1
242,299930,1,60,8,1
243,299930,1,60,8,1
244,299930,1,60,8,1
245,299930,1,60,8,1
246,299930,1,60,8,1
247,299930,1,60,8,1
248,299930,1,60,8,1
249,299930,1,60,8,1
250,299930,1,60,8,1
251,299930,1,60,8,1
252,299930,1,60,8,1
253,299930,1,60,8,1
254,299930,1,60,8,1
255,299930,1,60,8,1
256,299930,1,60,8,1
257,299930,1,59,9,1
258,299930,1,59,9,1
259,299930,1,59,9,1
260,299930,1,59,9,1
261,299930,1,59,9,1
262,299930,1,59,9,1
263,299930,1,58,10,1
264,299930,1,58,10,1
265,299930,0,59,10,1
266,299930,0,59,10,1
267,299930,0,58,11,1
268,299930,0,58,11,1
269,299930,0,58,11,1
270,299930,0,58,11,1
271,299930,0,58,11,1
272,299930,0,58,11,1
273,299930,0,58,11,1
274,299930,0,57,12,1
275,299930,0,56,13,1
276,299929,1,56,13,1
277,299929,1,56,13,1
278,299929,1,56,13,1
279,299929,1,56,13,1
280,299929,1,56,13,1
281,299929,1,56,13,1
282,299929,1,56,13,1
283,299929,1,56,13,1
284,299929,1,55,14,1
285,299929,1,55,14,1
286,299929,1,55,14,1
287,299929,1,55,14,1
288,299929,1,55,14,1
289,299928,2,55,14,1
290,299928,2,55,14,1
291,299928,2,55,14,1
292,299928,2,55,14,1
293,299928,2,55,14,1
294,299928,2,53,15,2
295,299928,2,53,15,2
296,299928,2,53,15,2
297,299928,2,53,15,2
298,299928,2,53,15,2
299,299928,2,53,15,2
300,299928,2,53,15,2
